"Peak","Name","Season","Date","Time","Citizenship","Sex","Age","Oxy","Dth","Host","Year"
"EVER","Erhard Loretan","1986 Sum","Aug 30","14:30","Switzerland","M",27,FALSE,FALSE,"China",1986
"EVER","Jean Fernand Troillet","1986 Sum","Aug 30","14:30","Switzerland","M",38,FALSE,FALSE,"China",1986
"EVER","Sharon Wood","1986 Spr","May 20","21:00","Canada","F",29,TRUE,FALSE,"China",1986
"EVER","Ang Rita Sherpa (Yilajung, Khumbu)","1987 Win","Dec 22","14:20","Nepal","M",39,FALSE,FALSE,"Nepal",1987
"EVER","Young-Ho Heo","1987 Win","Dec 22","14:20","S Korea","M",33,TRUE,FALSE,"Nepal",1987
"EVER","Ajiwa Sherpa (Thami, Khumbu)","1988 Aut","Sep 26","14:30","Nepal","M",35,TRUE,FALSE,"Nepal",1988
"EVER","Andre Georges","1988 Aut","Sep 26","14:30","Switzerland","M",35,TRUE,FALSE,"Nepal",1988
"EVER","Ang Phurba Sherpa (Thami, Khumbu)","1988 Spr","May 05","12:48","Nepal","M",26,TRUE,FALSE,"China",1988
"EVER","Ang Rita Sherpa (Yilajung, Khumbu)","1988 Aut","Oct 14","12:50","Nepal","M",40,FALSE,FALSE,"Nepal",1988
"EVER","Bong-Wan Jang","1988 Aut","Sep 29","8:30","S Korea","M",36,TRUE,FALSE,"Nepal",1988
"EVER","Byung-Ho Chang","1988 Aut","Sep 29","8:30","S Korea","M",27,TRUE,FALSE,"Nepal",1988
"EVER","Chang-Sun Kim","1988 Aut","Sep 26","14:30","S Korea","M",28,TRUE,FALSE,"Nepal",1988
"EVER","Da Ciren (Da Cering)","1988 Spr","May 05","12:48","China","M",37,TRUE,FALSE,"China",1988
"EVER","Dawa Tshering Sherpa (Gumela (Rimijung), Khumbu)","1988 Aut","Oct 02","10:00","Nepal","M",21,TRUE,FALSE,"Nepal",1988
"EVER","Geoffrey Craig Tabin","1988 Aut","Oct 02","10:00","United States of America","M",32,TRUE,FALSE,"Nepal",1988
"EVER","Gerard Vionnet-Fausset","1988 Aut","Sep 26","14:30","France","M",34,TRUE,FALSE,"Nepal",1988
"EVER","Hong-Gil Um","1988 Aut","Sep 26","14:30","S Korea","M",28,TRUE,FALSE,"Nepal",1988
"EVER","Jean-Marc Boivin","1988 Aut","Sep 26","14:30","France","M",37,TRUE,FALSE,"Nepal",1988
"EVER","Jean-Pierre Frachon","1988 Aut","Sep 26","14:30","France","M",41,TRUE,FALSE,"Nepal",1988
"EVER","Jeronimo Lopez Martinez","1988 Aut","Oct 14","12:50","Spain","M",37,TRUE,FALSE,"Nepal",1988
"EVER","John Robert Muir","1988 Spr","May 28","11:15","Australia","M",27,TRUE,FALSE,"Nepal",1988
"EVER","Jozef Just","1988 Aut","Oct 17","13:40","Czechoslovakia","M",33,FALSE,TRUE,"Nepal",1988
"EVER","Lhakpa Nuru (Ang Lhakpa) Sherpa (Khunde, Khumbu)","1988 Spr","May 05","9:30","Nepal","M",24,TRUE,FALSE,"China",1988
"EVER","Lhakpa Sonam Sherpa (Makalu-Barun)","1988 Aut","Oct 13","13:15","Nepal","M",30,TRUE,TRUE,"Nepal",1988
"EVER","Lhakpa Sonam Sherpa (Phortse, Khumbu)","1988 Spr","May 05","10:45","Nepal","M",31,TRUE,FALSE,"China",1988
"EVER","Lluis Giner Arnabat","1988 Aut","Oct 14","12:50","Spain","M",25,TRUE,FALSE,"Nepal",1988
"EVER","Lydia Margaret Bakewell Bradey","1988 Aut","Oct 14","17:00","New Zealand","F",27,FALSE,FALSE,"Nepal",1988
"EVER","Marc Batard","1988 Aut","Sep 26","15:30","France","M",36,FALSE,FALSE,"Nepal",1988
"EVER","Michel Metzger","1988 Aut","Sep 26","14:30","France","M",39,FALSE,FALSE,"Nepal",1988
"EVER","Munehiko Yamamoto","1988 Spr","May 05","11:00","Japan","M",28,TRUE,FALSE,"China",1988
"EVER","Nil Bohigas Martorell","1988 Aut","Oct 14","12:50","Spain","M",30,TRUE,FALSE,"Nepal",1988
"EVER","Nima Rita Sherpa (Thami, Khumbu)","1988 Aut","Oct 14","12:50","Nepal","M",30,FALSE,FALSE,"Nepal",1988
"EVER","Nima Tashi Sherpa (Pangboche, Khumbu)","1988 Aut","Oct 02","10:00","Nepal","M",28,TRUE,FALSE,"Nepal",1988
"EVER","Noboru Yamada","1988 Spr","May 05","9:30","Japan","M",38,TRUE,FALSE,"China",1988
"EVER","Padam Bahadur Tamang (Chuchure, Ramechap, Janakpur)","1988 Spr","May 10","","Nepal","M",33,TRUE,FALSE,"China",1988
"EVER","Pasang Gyalgen Sherpa (Thumbuk (Jorsali), Khumbu)","1988 Aut","Sep 29","10:40","Nepal","M",26,TRUE,FALSE,"Nepal",1988
"EVER","Pasang Tshering/Tshiring Sherpa (Beding, Dolakha)","1988 Aut","Sep 26","14:30","Nepal","M",25,TRUE,FALSE,"Nepal",1988
"EVER","Patrick Alexander Cullinan","1988 Spr","May 25","14:30","Australia","M",37,TRUE,FALSE,"Nepal",1988
"EVER","Paul Bayne","1988 Spr","May 25","12:30","Australia","M",31,TRUE,FALSE,"Nepal",1988
"EVER","Peggy Luce","1988 Aut","Oct 02","11:00","United States of America","F",29,TRUE,FALSE,"Nepal",1988
"EVER","Pema Dorje Sherpa (Khumjung, Khumbu)","1988 Aut","Sep 26","14:30","Nepal","M",30,TRUE,FALSE,"Nepal",1988
"EVER","Phu Dorje Sherpa (Pangboche, Khumbu)","1988 Aut","Oct 02","10:00","Nepal","M",26,TRUE,FALSE,"Nepal",1988
"EVER","Rinchen Phuntsok (Rinchen Phinzo)","1988 Spr","May 05","12:48","China","M",44,TRUE,FALSE,"China",1988
"EVER","Serge Koenig","1988 Aut","Oct 13","13:15","France","M",30,TRUE,FALSE,"Nepal",1988
"EVER","Seung-Kwon Chung","1988 Aut","Sep 29","10:00","S Korea","M",27,TRUE,FALSE,"Nepal",1988
"EVER","Shoji Nakamura","1988 Spr","May 05","11:15","Japan","M",45,TRUE,FALSE,"China",1988
"EVER","Sonam Tshering Sherpa (Beding, Dolakha)","1988 Aut","Sep 26","14:30","Nepal","M",28,TRUE,FALSE,"Nepal",1988
"EVER","Stacy Marie Allison","1988 Aut","Sep 29","10:30","United States of America","F",29,TRUE,FALSE,"Nepal",1988
"EVER","Stephen Malcolm Westmacott Venables","1988 Spr","May 12","15:40","UK","M",34,FALSE,FALSE,"China",1988
"EVER","Sun-Woo Nam","1988 Aut","Oct 02","10:00","S Korea","M",33,TRUE,FALSE,"Nepal",1988
"EVER","Sungdare Sherpa (Pangboche, Khumbu)","1988 Spr","May 10","","Nepal","M",33,TRUE,FALSE,"China",1988
"EVER","Susumu Nakamura","1988 Spr","May 05","11:15","Japan","M",42,TRUE,FALSE,"China",1988
"EVER","Teruo Saegusa","1988 Spr","May 05","11:15","Japan","M",30,TRUE,FALSE,"China",1988
"EVER","Tsering Dorje (Cerin Duoji)","1988 Spr","May 05","9:30","China","M",27,TRUE,FALSE,"China",1988
"EVER","Zhi-Xin Li","1988 Spr","May 05","10:30","China","M",25,TRUE,FALSE,"China",1988
"EVER","Adrian (Aid) Burgess","1989 Spr","May 24","7:00","UK","M",40,TRUE,FALSE,"Nepal",1989
"EVER","Ajiwa Sherpa (Thami, Khumbu)","1989 Spr","May 10","17:30","Nepal","M",35,TRUE,FALSE,"Nepal",1989
"EVER","Andrzej Marciniak","1989 Spr","May 24","20:00","Poland","M",30,TRUE,FALSE,"Nepal",1989
"EVER","Atsushi Yamamoto","1989 Aut","Oct 13","12:30","Japan","M",27,TRUE,FALSE,"Nepal",1989
"EVER","Carlos Miguel Carsolio Larrea","1989 Aut","Oct 13","12:30","Mexico","M",27,FALSE,FALSE,"Nepal",1989
"EVER","Chuldim (Chuldim Dorje) Sherpa (Khumjung, Khumbu)","1989 Aut","Oct 13","12:30","Nepal","M",25,TRUE,FALSE,"Nepal",1989
"EVER","Dawa Norbu (Ang Danu) Sherpa (Khunde, Khumbu)","1989 Spr","May 16","15:30","Nepal","M",29,TRUE,FALSE,"Nepal",1989
"EVER","Dimitar Ilievski","1989 Spr","May 10","17:30","Yugoslavia","M",35,TRUE,TRUE,"Nepal",1989
"EVER","Eugeniusz (Genek) Chrobak","1989 Spr","May 24","20:00","Poland","M",49,TRUE,TRUE,"Nepal",1989
"EVER","Hiroshi Ohnishi","1989 Aut","Oct 13","12:30","Japan","M",27,TRUE,FALSE,"Nepal",1989
"EVER","Kwang-Je Cho","1989 Aut","Oct 13","12:30","S Korea","M",25,TRUE,FALSE,"Nepal",1989
"EVER","Lhakpa Nuru (Ang Lhakpa) Sherpa (Khunde, Khumbu)","1989 Spr","May 24","7:00","Nepal","M",25,TRUE,FALSE,"Nepal",1989
